City/Town,Ward,Pct,"Sue Minter","Robert Dostis",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Duxbury,,,502,484,11,0,997
Huntington,,,805,776,13,0,"1,594"
Waterbury,,,"1,945","1,874",49,0,"3,868"
TOTALS,,,"3,252","3,134",73,0,"6,459"
