City/Town,Ward,Pct,"Andy Donaghy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Ira,,,31,0,0,31
Poultney,,,888,91,0,979
TOTALS,,,919,91,0,"1,010"
