City/Town,Ward,Pct,"Avis Gervais","Hal Bill",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
Bakersfield,,,337,191,3,0,531
Enosburgh,,,679,244,3,0,926
TOTALS,,,"1,016",435,6,0,"1,457"
